Num_CAZy_Prot_IDs,genus,species
195,Ustilago,bromivora
510,Fusarium,graminearum
1,Trichoderma,harzianum
35,Aspergillus,niger
542,Magnaporthe,oryzae
1,Phytophthora,parasitica
