,Genus,Mean Number of Proteins,SD Number of Proteins
0,Phytophthora,25299.0,2316.1642552165545
1,Aspergillus,9702.818181818182,924.5466523635756
2,Fusarium,15938.818181818182,2287.179081042919
3,Ustilago,7227.0,0.0
4,Rhynchosporium,13009.666666666666,604.4817798926798
5,Trichoderma,11605.5,1500.5856356769514
6,Albugo,13311.0,0.0
7,Magnaporthe,12986.5,534.5
8,Plasmopara,15469.0,0.0
