,Families,Genus,Incidence
175,PL20+AA0,Magnaporthe,
176,PL20+AA0,Rhynchosporium,
177,PL20+AA0,Trichoderma,
178,PL20+AA0,Oomycete,
179,PL20+AA0,Phytophthora,
180,CBM50+GT109,All,
181,CBM50+GT109,Fungi,
182,CBM50+GT109,Aspergillus,1.0
183,CBM50+GT109,Fusarium,
184,CBM50+GT109,Magnaporthe,
185,CBM50+GT109,Rhynchosporium,
186,CBM50+GT109,Trichoderma,
187,CBM50+GT109,Oomycete,
188,CBM50+GT109,Phytophthora,
189,CBM18+AA17,All,
190,CBM18+AA17,Fungi,
191,CBM18+AA17,Aspergillus,
192,CBM18+AA17,Fusarium,
193,CBM18+AA17,Magnaporthe,
194,CBM18+AA17,Rhynchosporium,
195,CBM18+AA17,Trichoderma,
196,CBM18+AA17,Oomycete,1.0
197,CBM18+AA17,Phytophthora,1.0
198,GT32+GT74,All,
199,GT32+GT74,Fungi,
200,GT32+GT74,Aspergillus,
201,GT32+GT74,Fusarium,
202,GT32+GT74,Magnaporthe,
203,GT32+GT74,Rhynchosporium,
204,GT32+GT74,Trichoderma,
205,GT32+GT74,Oomycete,1.0
206,GT32+GT74,Phytophthora,
207,GH131+GT30,All,
208,GH131+GT30,Fungi,
209,GH131+GT30,Aspergillus,
210,GH131+GT30,Fusarium,
211,GH131+GT30,Magnaporthe,
212,GH131+GT30,Rhynchosporium,
213,GH131+GT30,Trichoderma,
214,GH131+GT30,Oomycete,1.0
215,GH131+GT30,Phytophthora,
216,GH108+GH23,All,
217,GH108+GH23,Fungi,
218,GH108+GH23,Aspergillus,
219,GH108+GH23,Fusarium,1.0
220,GH108+GH23,Magnaporthe,
221,GH108+GH23,Rhynchosporium,
222,GH108+GH23,Trichoderma,
223,GH108+GH23,Oomycete,
224,GH108+GH23,Phytophthora,
225,GT5+GH84,All,
226,GT5+GH84,Fungi,
227,GT5+GH84,Aspergillus,
228,GT5+GH84,Fusarium,1.0
229,GT5+GH84,Magnaporthe,
230,GT5+GH84,Rhynchosporium,
231,GT5+GH84,Trichoderma,
232,GT5+GH84,Oomycete,
233,GT5+GH84,Phytophthora,
234,GH78+GH12+GT62,All,38.0
235,GH78+GH12+GT62,Fungi,
236,GH78+GH12+GT62,Aspergillus,
237,GH78+GH12+GT62,Fusarium,
238,GH78+GH12+GT62,Magnaporthe,
239,GH78+GH12+GT62,Rhynchosporium,
240,GH78+GH12+GT62,Trichoderma,
241,GH78+GH12+GT62,Oomycete,
242,GH78+GH12+GT62,Phytophthora,
243,CE3+GH39+GH154,All,27.0
244,CE3+GH39+GH154,Fungi,27.0
245,CE3+GH39+GH154,Aspergillus,
246,CE3+GH39+GH154,Fusarium,
247,CE3+GH39+GH154,Magnaporthe,
248,CE3+GH39+GH154,Rhynchosporium,
249,CE3+GH39+GH154,Trichoderma,
250,CE3+GH39+GH154,Oomycete,
251,CE3+GH39+GH154,Phytophthora,
252,CBM35+GH51+PL1,All,
253,CBM35+GH51+PL1,Fungi,28.0
254,CBM35+GH51+PL1,Aspergillus,
255,CBM35+GH51+PL1,Fusarium,
256,CBM35+GH51+PL1,Magnaporthe,
257,CBM35+GH51+PL1,Rhynchosporium,
258,CBM35+GH51+PL1,Trichoderma,
259,CBM35+GH51+PL1,Oomycete,
260,CBM35+GH51+PL1,Phytophthora,
261,GT0+GH64+AA12,All,20.0
262,GT0+GH64+AA12,Fungi,20.0
263,GT0+GH64+AA12,Aspergillus,
264,GT0+GH64+AA12,Fusarium,
265,GT0+GH64+AA12,Magnaporthe,
266,GT0+GH64+AA12,Rhynchosporium,
267,GT0+GH64+AA12,Trichoderma,
268,GT0+GH64+AA12,Oomycete,
269,GT0+GH64+AA12,Phytophthora,
270,GT60+CBM5+GH123,All,9.0
271,GT60+CBM5+GH123,Fungi,
272,GT60+CBM5+GH123,Aspergillus,
273,GT60+CBM5+GH123,Fusarium,
274,GT60+CBM5+GH123,Magnaporthe,
275,GT60+CBM5+GH123,Rhynchosporium,
276,GT60+CBM5+GH123,Trichoderma,
277,GT60+CBM5+GH123,Oomycete,
278,GT60+CBM5+GH123,Phytophthora,
279,GH114+GT76+CBM9,All,
280,GH114+GT76+CBM9,Fungi,
281,GH114+GT76+CBM9,Aspergillus,
282,GH114+GT76+CBM9,Fusarium,
283,GH114+GT76+CBM9,Magnaporthe,
284,GH114+GT76+CBM9,Rhynchosporium,
285,GH114+GT76+CBM9,Trichoderma,
286,GH114+GT76+CBM9,Oomycete,6.0
287,GH114+GT76+CBM9,Phytophthora,
288,GH32+CBM38+GH49,All,
289,GH32+CBM38+GH49,Fungi,
290,GH32+CBM38+GH49,Aspergillus,
291,GH32+CBM38+GH49,Fusarium,
292,GH32+CBM38+GH49,Magnaporthe,
293,GH32+CBM38+GH49,Rhynchosporium,
294,GH32+CBM38+GH49,Trichoderma,1.0
295,GH32+CBM38+GH49,Oomycete,
296,GH32+CBM38+GH49,Phytophthora,
297,GH127+GH26+GH4,All,
298,GH127+GH26+GH4,Fungi,
299,GH127+GH26+GH4,Aspergillus,
300,GH127+GH26+GH4,Fusarium,
301,GH127+GH26+GH4,Magnaporthe,
302,GH127+GH26+GH4,Rhynchosporium,
303,GH127+GH26+GH4,Trichoderma,2.0
304,GH127+GH26+GH4,Oomycete,
305,GH127+GH26+GH4,Phytophthora,
306,CBM50+GT109+PL42,All,
307,CBM50+GT109+PL42,Fungi,
308,CBM50+GT109+PL42,Aspergillus,
309,CBM50+GT109+PL42,Fusarium,1.0
310,CBM50+GT109+PL42,Magnaporthe,
311,CBM50+GT109+PL42,Rhynchosporium,
312,CBM50+GT109+PL42,Trichoderma,
313,CBM50+GT109+PL42,Oomycete,
314,CBM50+GT109+PL42,Phytophthora,
315,GH81+GH1+GH6+GH7,All,40.0
316,GH81+GH1+GH6+GH7,Fungi,
317,GH81+GH1+GH6+GH7,Aspergillus,
318,GH81+GH1+GH6+GH7,Fusarium,
319,GH81+GH1+GH6+GH7,Magnaporthe,
320,GH81+GH1+GH6+GH7,Rhynchosporium,
321,GH81+GH1+GH6+GH7,Trichoderma,
322,GH81+GH1+GH6+GH7,Oomycete,
323,GH81+GH1+GH6+GH7,Phytophthora,
324,GH10+CE5+CE4+GH43,All,40.0
325,GH10+CE5+CE4+GH43,Fungi,
326,GH10+CE5+CE4+GH43,Aspergillus,
327,GH10+CE5+CE4+GH43,Fusarium,
328,GH10+CE5+CE4+GH43,Magnaporthe,
329,GH10+CE5+CE4+GH43,Rhynchosporium,
330,GH10+CE5+CE4+GH43,Trichoderma,
331,GH10+CE5+CE4+GH43,Oomycete,
332,GH10+CE5+CE4+GH43,Phytophthora,
333,CBM52+GT55+GH94+GT61,All,2.0
334,CBM52+GT55+GH94+GT61,Fungi,2.0
335,CBM52+GT55+GH94+GT61,Aspergillus,
336,CBM52+GT55+GH94+GT61,Fusarium,
337,CBM52+GT55+GH94+GT61,Magnaporthe,
338,CBM52+GT55+GH94+GT61,Rhynchosporium,
339,CBM52+GT55+GH94+GT61,Trichoderma,
340,CBM52+GT55+GH94+GT61,Oomycete,
341,CBM52+GT55+GH94+GT61,Phytophthora,
342,CBM13+CE0+CBM50+PL42,All,
343,CBM13+CE0+CBM50+PL42,Fungi,
344,CBM13+CE0+CBM50+PL42,Aspergillus,
345,CBM13+CE0+CBM50+PL42,Fusarium,
346,CBM13+CE0+CBM50+PL42,Magnaporthe,1.0
347,CBM13+CE0+CBM50+PL42,Rhynchosporium,
348,CBM13+CE0+CBM50+PL42,Trichoderma,
349,CBM13+CE0+CBM50+PL42,Oomycete,
350,CBM13+CE0+CBM50+PL42,Phytophthora,
351,AA16+CE12+CBM67+CBM63+AA8,All,27.0
352,AA16+CE12+CBM67+CBM63+AA8,Fungi,
353,AA16+CE12+CBM67+CBM63+AA8,Aspergillus,
354,AA16+CE12+CBM67+CBM63+AA8,Fusarium,
355,AA16+CE12+CBM67+CBM63+AA8,Magnaporthe,
356,AA16+CE12+CBM67+CBM63+AA8,Rhynchosporium,
357,AA16+CE12+CBM67+CBM63+AA8,Trichoderma,
358,AA16+CE12+CBM67+CBM63+AA8,Oomycete,
359,AA16+CE12+CBM67+CBM63+AA8,Phytophthora,
360,GT8+GH114+GT76+CE2+CBM9,All,
361,GT8+GH114+GT76+CE2+CBM9,Fungi,
362,GT8+GH114+GT76+CE2+CBM9,Aspergillus,
363,GT8+GH114+GT76+CE2+CBM9,Fusarium,
364,GT8+GH114+GT76+CE2+CBM9,Magnaporthe,
365,GT8+GH114+GT76+CE2+CBM9,Rhynchosporium,
366,GT8+GH114+GT76+CE2+CBM9,Trichoderma,
367,GT8+GH114+GT76+CE2+CBM9,Oomycete,
368,GT8+GH114+GT76+CE2+CBM9,Phytophthora,6.0
369,GH79+GH29+GH142+GH26+PL27,All,
370,GH79+GH29+GH142+GH26+PL27,Fungi,
371,GH79+GH29+GH142+GH26+PL27,Aspergillus,4.0
372,GH79+GH29+GH142+GH26+PL27,Fusarium,
373,GH79+GH29+GH142+GH26+PL27,Magnaporthe,
374,GH79+GH29+GH142+GH26+PL27,Rhynchosporium,
375,GH79+GH29+GH142+GH26+PL27,Trichoderma,
376,GH79+GH29+GH142+GH26+PL27,Oomycete,
377,GH79+GH29+GH142+GH26+PL27,Phytophthora,
378,PL14+GH8+PL35+AA10+GH9+GH42,All,1.0
379,PL14+GH8+PL35+AA10+GH9+GH42,Fungi,
380,PL14+GH8+PL35+AA10+GH9+GH42,Aspergillus,
